Original Name of Owner/Profile,Location,Phone Number,Website,Instagram,Facebook,TikTok,Listing of Airbnb/Booking/OLX
Cabana Balada,"Unnamed Road, 407075 Beliș","+40 755 096 699",,,,,"Airbnb: https://www.airbnb.com/rooms/764951439111893168"
"Pensiunea Bălcești - Cazare Belis, Apuseni","Bălcești / Beliș, Cluj","+40 733 871 941",,,,,"Airbnb: https://www.airbnb.com/rooms/1511092554926308882"
Casa Maramureseana,"Beliș, Cluj","+40 760 294 786",,,,,"Airbnb: https://www.airbnb.com/rooms/1019387524748730856"
Cabana Ella Belis,"Beliș, Cluj","+40 723 692 027",,,,,"Airbnb: https://www.airbnb.com/rooms/962753684964916516"
panoramic aframe,"Beliș / Dealu Negru area, Cluj","+40 749 200 087",,,,,"Airbnb: https://www.airbnb.com/rooms/973769914274124440"
Cabana The One,"Beliș, Cluj","+40 746 267 634",,,,,"Airbnb: https://www.airbnb.com/rooms/924462515882386562"
Cabana Transilvania,"Beliș, Cluj","+40 743 185 302",,,,,"Airbnb: https://www.airbnb.com/rooms/760138116186242116"
"Pensiunea Caesar's House","strada Principala nr 430 E, 407075 Beliș","+40 759 655 521",https://pensiunea-caesarshouse.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/1679055975215304856 | Airbnb: https://www.airbnb.com/rooms/814426750450289657"
Cabana perla Transilvaniei,"Unnamed Road, 407076 Bălcești","+40 757 011 128",,,,,"Airbnb: https://www.airbnb.com/rooms/41386599"
Casa de vacanta Picătura de roua,"DN1R 37, 407075 Beliș","+40 749 315 604",,,,,"Airbnb: https://www.airbnb.com/rooms/777550357867234122"
Mountain View Apuseni,"Beliș / Apuseni area, Cluj","+40 740 146 596",,,,,"Airbnb: https://www.airbnb.com/rooms/1410306856300432538"
"Pensiunea Agroturistică Saranis","98A, Comuna Beliș nr, DN1R, 407075 Beliș","+40 748 196 905",,,,,"Airbnb: https://www.airbnb.com/rooms/606868356836278107"
Vals,"drum 162A, 400445 Beliș","+40 728 830 373",,,,,"Airbnb: https://www.airbnb.com/rooms/1205035395571461396"
Cabana Visul Muntilor Beliș,"Beliș, Cluj","+40 733 117 686",,,,,"Airbnb: https://www.airbnb.com/rooms/557299790053916975"
