Name,"Judet, Location",Phone number,Listing Link,Website,TikTok,Instagram,Facebook,Status,Notes
2 Towers Cabin,"Cluj, Mărișel",+40 747 658 973,https://wel.ro/cazare-inedita/2-towers-cabin/,,,,,Lead,
Amonte Mountain Resort,"Cluj, Someșul Rece",+40 775 644 969,https://wel.ro/cazare-inedita/amonte-mountain-resort/,,,,,Lead,
Apusenity,"Cluj, Călățele",+40 743 683 350,https://wel.ro/cazare-inedita/apusenity/,https://apusenity.ro/,,https://www.instagram.com/apusenity/,https://www.facebook.com/apusenity,Lead,
Cabana A-casă,"Cluj, Rișca",+40 747 881 478,https://wel.ro/cazare-inedita/cabana-a-casa/,https://cabanaacasa.ro/,,https://www.instagram.com/cabanaacasa/,https://www.facebook.com/p/Cabana-A-cas%C4%83-100090766165502/,Lead,
Cabana Backyard,"Cluj, Plopi",+40 741 286 177,https://wel.ro/cazare-inedita/cabana-backyard/,,,,,Lead,
Cabana Neagră,"Cluj, Beliș",+40 740 022 267,https://wel.ro/cazare-inedita/cabana-neagra/,,,,,Lead,
Casa din Deal,"Cluj, Mărișel",+40 787 829 118,https://wel.ro/cazare-inedita/casa-din-deal/,,,,,Lead,
Cozy Living,"Cluj, Dealu Negru",+40 754 853 045,https://wel.ro/cazare-inedita/cozy-living/,https://www.cozyliving.ro/,,https://www.instagram.com/cozy.living2024/,https://www.facebook.com/profile.php?id=61567676494270,Lead,
Crow's Nest,"Cluj, Măguri",+40 747 367 065,https://wel.ro/cazare-inedita/crows-nest/,https://crowsnest.ro/,,https://instagram.com/crowsnest.maguri,,Lead,
Echoes of Vlădicu,"Cluj, Cluj-Napoca",+40 767 420 170,https://wel.ro/cazare-inedita/echoes-of-vladicu/,,,,,Lead,
FamilyNest,"Cluj, Băișoara",+40 742 463 543,https://wel.ro/cazare-inedita/familynest/,https://familynest.ro/,https://www.tiktok.com/@familynest_baisoara,https://www.instagram.com/familynest.baisoara,https://www.facebook.com/@familynest.baisoara,Lead,
Grand Lake House,"Cluj, Giurcuța de Sus",+40 742 591 290,https://wel.ro/cazare-inedita/grand-lake-house/,https://grandmountainresort.ro/,,https://www.instagram.com/grand.lake.house/,https://www.facebook.com/share/1LeKvdzpCG/,Lead,
Hanul Morii,"Cluj, Ciucea",+40 757 920 300,https://wel.ro/cazare-inedita/hanul-morii/,https://route60.ro/hanul-morii-cazare/,,https://www.instagram.com/hanulmorii/,https://www.facebook.com/profile.php?id=100063484305875,Lead,
Sali Chalet,"Cluj, Muntele Băișorii",+40 722 549 525,https://wel.ro/cazare-inedita/sali-chalet/,https://salichalet.ro/,https://www.tiktok.com/@sali.chalet,https://www.instagram.com/salichalet/,https://www.facebook.com/profile.php?id=100090000551253,Lead,
VEA MOUNTAIN RETREAT,"Cluj, Măguri-Răcătău",+40 757 359 719,https://wel.ro/cazare-inedita/vea-mountain-retreat/,,,,,Lead,
