Original Name of Owner/Profile,Location,Phone Number,Website,Instagram,Facebook,TikTok,Listing of Airbnb/Booking/OLX
Marisel Escape- 3 bedroom holiday home,"Mărișel, Cluj","+40 740 729 051",,,,,"Airbnb: https://www.airbnb.com/rooms/585132500522176866"
Pensiunea Alpin Marisel Self Check-in,"Mărișel, Cluj","+40 740 545 118",,,,,"Airbnb: https://www.airbnb.com/rooms/1643628598887992436 | Airbnb: https://www.airbnb.com/rooms/1645112171832987263"
Cabana Apuseni N&D,"Mărișel, Cluj","+40 752 402 492",,,,,"Airbnb: https://www.airbnb.com/rooms/1425003008818298329"
Pensiunea Arizona Ranch,"Mărișel, Cluj","+40 749 459 341",https://arizonaranch.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/1241930004124203372"
Cabana din Lemn Negru,"Strada Principală 396, 407390 Mărișel","+40 722 404 065",,,,,"Airbnb: https://www.airbnb.com/rooms/753320988710723911"
Cabana Izabela,"407390 Mărișel","+40 741 213 380",,,,,"Airbnb: https://www.airbnb.com/rooms/1179821885707592528"
Cabana Lenuta,"Mărișel, Cluj","+40 771 655 828",,,,,"Airbnb: https://www.airbnb.com/rooms/1094792510594885861"
Cabana Refugio,"Mărișel, Cluj","+40 757 587 464",https://cabana-refugio.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/1133420905703577887"
Casa Eden,"Str. Mărișel, 407390 Cluj-Napoca","+40 752 025 736",,,,,"Airbnb: https://www.airbnb.com/rooms/1086081028880930834 | Airbnb: https://www.airbnb.com/rooms/1094103195393902759"
Cabana cu Usa Verde,"Strada Principală, Mărișel, 407390 Cluj","+40 745 092 221",,,,,"Airbnb: https://www.airbnb.com/rooms/1283196307118483717"
Dor de Munte Mărișel,"Strada Principală 324a, 407390 Mărișel","+40 787 829 118",,,,,"Airbnb: https://www.airbnb.com/rooms/1603046487545912199"
Cabana GoldenSunset,"Mărișel, Cluj","+40 744 701 357",https://cabanagoldensunset.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/1479678790365105081"
Agropensiunea Mara,"Mărișel, Cluj","+40 771 230 791",https://agropensiunea-mara.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/31870221"
Monteluce Aframe,"Mărișel, Strada Stănești 60","+40 745 301 315",,,,,"Airbnb: https://www.airbnb.com/rooms/1321880941013349237"
Monterosso,"Str. Mărișel, 407390 Cluj-Napoca","+40 771 376 061",https://monterosso.ro/,,,,"Airbnb: https://www.airbnb.com/rooms/1505146237956562399"
Nordik Cabin,"Strada Principală, 407390 Mărișel","+40 723 746 507",https://nordikcabin.com/,,,,"Airbnb: https://www.airbnb.com/rooms/1354807028958833716"
Natura Tiny House-Cazare Mărișel,"Mărișel, Cluj","+40 745 032 285",,,,,"Airbnb: https://www.airbnb.com/rooms/1063162218344939189"
The View Marisel,"nr. 406 B, 407390 Mărișel","+40 754 279 542",https://theviewmarisel.com/,,,,"Airbnb: https://www.airbnb.com/rooms/1326939099856333219"
TheNest,"Str, 407390 Mărișel","+40 742 971 055",https://thenestcabin.com/,,,,"Airbnb: https://www.airbnb.com/rooms/1315291316782237714"
Transilvanya cabin-Cabana Racilor,"Strada Principală, 407390 Mărișel","+40 740 185 730",,,,,"Airbnb: https://www.airbnb.com/rooms/1197049207881229146"
